GAP,,"DES,GAP,STK,SMART/AMEX,,,,,"
TEN,,"DES,TEN,STK,SMART/AMEX,,,,,"
CASY,,"DES,CASY,STK,SMART/AMEX,,,,,"
HPE,,"DES,HPE,STK,SMART/AMEX,,,,,"
MTN,,"DES,MTN,STK,SMART/AMEX,,,,,"
ORCL,,"DES,ORCL,STK,SMART/AMEX,,,,,"
CTOS,,"DES,CTOS,STK,SMART/AMEX,,,,,"
FERG,,"DES,FERG,STK,SMART/AMEX,,,,,"
UNFI,,"DES,UNFI,STK,SMART/AMEX,,,,,"
WLFC,,"DES,WLFC,STK,SMART/AMEX,,,,,"
CPB,,"DES,CPB,STK,SMART/AMEX,,,,,"
BMBL,,"DES,BMBL,STK,SMART/AMEX,,,,,"
PATH,,"DES,PATH,STK,SMART/AMEX,,,,,"
DG,,"DES,DG,STK,SMART/AMEX,,,,,"
DKS,,"DES,DKS,STK,SMART/AMEX,,,,,"
OLLI,,"DES,OLLI,STK,SMART/AMEX,,,,,"
ADBE,,"DES,ADBE,STK,SMART/AMEX,,,,,"
LEN,,"DES,LEN,STK,SMART/AMEX,,,,,"
S,,"DES,S,STK,SMART/AMEX,,,,,"
SMTC,,"DES,SMTC,STK,SMART/AMEX,,,,,"
TTAN,,"DES,TTAN,STK,SMART/AMEX,,,,,"
ULTA,,"DES,ULTA,STK,SMART/AMEX,,,,,"
LAR,,"DES,LAR,STK,SMART/AMEX,,,,,"
DOCU,,"DES,DOCU,STK,SMART/AMEX,,,,,"
HQY,,"DES,HQY,STK,SMART/AMEX,,,,,"
GIS,,"DES,GIS,STK,SMART/AMEX,,,,,"
WSM,,"DES,WSM,STK,SMART/AMEX,,,,,"
FIVE,,"DES,FIVE,STK,SMART/AMEX,,,,,"
MU,,"DES,MU,STK,SMART/AMEX,,,,,"
ACN,,"DES,ACN,STK,SMART/AMEX,,,,,"
CCL,,"DES,CCL,STK,SMART/AMEX,,,,,"
DRI,,"DES,DRI,STK,SMART/AMEX,,,,,"
JBL,,"DES,JBL,STK,SMART/AMEX,,,,,"
FDX,,"DES,FDX,STK,SMART/AMEX,,,,,"
CNM,,"DES,CNM,STK,SMART/AMEX,,,,,"
KBH,,"DES,KBH,STK,SMART/AMEX,,,,,"
CHWY,,"DES,CHWY,STK,SMART/AMEX,,,,,"
MLKN,,"DES,MLKN,STK,SMART/AMEX,,,,,"
PAYX,,"DES,PAYX,STK,SMART/AMEX,,,,,"
AGX,,"DES,AGX,STK,SMART/AMEX,,,,,"
AIR,,"DES,AIR,STK,SMART/AMEX,,,,,"
